N,P,K,ph,temperature,humidity,label
74,54,38,7.120272972,25.65553461,83.47021081,rice
91,36,45,5.950647577000001,24.44345477,82.45432595,rice
71,46,40,7.236705436,20.2801937,82.1235421,rice
99,55,35,6.501697816,21.7238313,80.2389895,rice
72,40,38,7.592490617,20.41447029,82.20802629,rice
83,58,45,5.875345751,25.75528612,83.51827127,rice
93,58,38,6.932400225,20.61521424,83.77345559,rice
70,36,42,6.9462098810000015,21.84106875,80.72886384,rice
76,47,42,5.739175027000001,20.08369642,83.29114712,rice
99,41,36,6.738652179,24.45802087,82.74835604,rice
99,54,37,5.5948196260000005,21.14347496,80.33502926,rice
86,59,35,6.946636369,25.78720567,82.11124033,rice
69,46,41,5.012139669,23.64124821,80.28597873,rice
91,56,37,6.363472207999999,23.43191632,80.56887849,rice
61,52,41,6.880431223,24.97669518,83.891805,rice
67,45,38,7.300410836,22.72791041,82.17068809999998,rice
79,42,37,6.587918707999999,24.87300744,82.84022551,rice
78,43,42,7.283736617000001,21.32376327,83.00320459,rice
75,54,36,7.023936392,26.29465461,84.56919326,rice
97,36,45,6.939083505,22.2286982,81.85872947,rice
67,47,44,7.868474653,26.73072391,81.78596776,rice
73,35,38,5.005306977,24.88921174,81.97927117,rice
77,36,37,6.136131869,26.88444878,81.46033732,rice
81,41,38,7.5240800760000015,22.67846116,83.72874389,rice
68,57,43,5.706943251,26.08867875,80.37979919,rice
72,45,35,5.758506323,25.42977518,82.94682591,rice
61,53,43,6.349606327,26.40323239,81.05635517,rice
67,43,39,5.9999690260000005,26.04371967,84.96907151,rice
67,58,39,5.453592032,25.2827223,80.54372813,rice
66,60,38,6.372576327000001,22.08576562,83.47038318,rice
82,43,38,5.105588355,23.28617173,81.43321641,rice
84,50,44,5.9353444060000005,25.48591986,81.40633547,rice
81,53,42,5.17782304,23.67575393,81.03569343,rice
91,50,40,6.462391607000001,20.82477109,84.1341879,rice
93,53,38,7.069172227,26.92995077,81.91411159,rice
90,44,38,7.473134377,23.83509503,83.88387074,rice
81,45,35,6.158376967000001,26.52872817,80.12267476,rice
78,40,38,7.549873681,26.46428311,83.85642678,rice
60,51,36,6.028321557999999,22.69657794,82.81088865,rice
88,46,42,6.604993475,22.68319059,83.46358271,rice
93,47,37,6.500343222000001,21.53346343,82.14004101,rice
60,55,45,5.935745417000001,21.40865769,83.32931909999998,rice
78,35,44,7.072655622,26.54348085,84.67353597,rice
65,37,40,5.333322606,23.35905428,83.59512273,rice
71,54,16,5.7499144210000015,22.61359953,63.69070564,maize
61,44,17,6.931756557999999,26.10018422,71.57476937,maize
80,43,16,6.657964753,23.55882094,71.59351368,maize
73,58,21,6.596060648,19.97215954,57.68272924,maize
61,38,20,5.970458434,18.47891261,62.69503871,maize
68,41,16,6.158830619,21.77689322,57.80840636,maize
93,41,17,6.047906679,25.6217169,66.50415474,maize
89,60,19,5.913664501,25.19192419,66.69029010000001,maize
76,44,17,5.855442401,20.41683147,62.55424820000001,maize
67,60,25,5.750254943,24.92162194,66.78627406,maize
70,44,19,5.852607099,23.31689124,73.4541537,maize
90,49,21,6.4725232870000005,24.84016732,68.3584573,maize
62,52,16,6.9670577620000005,22.27526694,58.84015925,maize
92,44,16,6.082973754,18.87751445,65.76816093,maize
66,54,21,5.919045532,25.19008683,60.200168700000006,maize
63,58,22,6.204747652999999,18.25405352,55.28220433,maize
70,47,17,6.600827017,24.612911800000006,70.4162444,maize
61,41,17,6.021902237000001,25.1420613,65.26185135,maize
66,53,19,6.033550195,23.09348056,60.11593810000001,maize
74,55,19,6.28886807,18.05033737,62.89366992,maize
77,57,21,6.550563822999999,24.9321581,73.80435276,maize
99,50,15,5.573286437,18.14710054,71.09445342,maize
74,56,22,6.829199275,18.28362235,66.65952796,maize
83,45,21,5.716222912,18.83344471,58.75082029,maize
100,48,16,5.54990242,25.71895816,67.22190688,maize
79,51,16,6.586244581,25.33797709,68.49835977,maize
94,39,18,5.893093135,23.89114571,57.48775781,maize
75,49,15,5.918263801,21.53574127,71.50905983,maize
78,48,22,5.588650585,23.08974909,63.10459626,maize
87,54,20,6.576418207000001,25.61707368,63.4711755,maize
87,35,25,6.178056304,21.44526922,63.1621551,maize
63,43,19,6.641906353,18.51816776,55.53128131,maize
84,57,25,6.489040367,22.53510514,67.99257471,maize
64,35,23,5.680361037999999,23.02038334,61.89472002,maize
60,46,22,6.625404347999999,24.89364635,65.61418761,maize
98,44,21,6.524478032,25.77175115,74.089114,maize
75,56,18,5.696205468,19.39851734,62.35750641,maize
86,55,21,6.803931519,21.54156232,59.64024162,maize
98,35,18,6.252797547999999,23.79746068,74.82913698,maize
76,57,18,6.092725883,18.9802729,74.52600826,maize
99,56,17,6.234330356,24.10859207,73.13112261,maize
60,44,23,5.722579819,24.7947077,70.04556743,maize
74,48,17,6.430616465,21.63162756,60.27766379,maize
89,60,17,5.983952675,25.37548751,57.21025565,maize
69,51,23,6.80163854,22.21738222,72.85462807,maize
96,46,22,6.499936446,20.58314011,69.00128641,maize
61,60,15,6.265564338,24.87502824,68.74248334,maize
74,58,18,6.727303282,20.03728219,56.35606753,maize
74,43,23,6.325235159,25.95263264,61.89082199,maize
63,43,17,6.807487794,19.28889933,65.47050802,maize
99,36,20,6.671085817000001,20.57981887,65.34583901,maize
77,36,23,6.648725327,24.71417533,56.73426469,maize
87,60,23,6.439071996,20.27317074,63.91281869,maize
60,38,17,6.474476516,18.41932981,64.23580251,maize
94,54,17,5.871647806,23.39128187,61.74427165,maize
95,38,22,5.730617109,19.84939404,61.24500053,maize
84,44,21,5.850439831,21.869274,61.91044947,maize
77,58,19,5.791649933,22.8056033,56.50768935,maize
66,44,20,6.740000687999999,19.0781471,69.02298571,maize
63,35,16,6.272417541,22.02720976,65.35549924,maize
79,45,20,5.715208817000001,23.80546189,59.24537979,maize
72,60,25,5.773454729,18.52510753,69.0276233,maize
67,51,24,5.584171461,23.50297882,61.32026065,maize
86,36,24,5.787268394,26.54986394,72.89187265,maize
76,48,18,5.77597783,19.29563411,69.63481219,maize
75,53,18,6.864793607,20.68899915,59.4375337,maize
81,45,23,6.192360002999999,19.32666088,68.03449300000001,maize
73,45,21,6.636803222999999,24.60532218,73.58868502,maize
71,35,24,5.826426917,22.27373646,59.52193158,maize
96,54,22,6.960358276,25.70196694,61.33450447,maize
99,39,18,6.11275104,19.20129357,68.30578978,maize
62,48,20,6.708446922,21.70181447,60.47470519,maize
86,37,16,5.561510732,20.51716779,59.21235483,maize
94,50,19,5.873242491,23.30355338,73.62548442,maize
76,39,24,6.995843776,24.2547451,55.64709899,maize
77,52,17,5.714799723,24.86374934,65.7420046,maize
74,39,23,6.78073637,22.6265115,65.77472881,maize
81,49,20,5.513697923,18.04185513,60.61494304,maize
63,42,21,5.798423907999999,23.26237612,72.33125523,maize
99,38,21,6.352471866,22.88330922,71.59722446,maize
90,52,25,6.822586546,25.97482359,69.36385721,maize
68,40,19,6.655426355,26.14384005,66.20569924,maize
60,57,24,6.1212940410000005,18.66116213,61.55327249,maize
71,52,18,5.790770202999999,25.10787449,55.97732754,maize
61,59,17,6.47444292,23.33844615,59.24580604,maize
88,38,15,6.455116637000001,25.08239719,65.92195844,maize
65,60,22,6.6069840860000015,25.36768364,72.52054555,maize
78,37,22,6.330554389,25.34217103,63.31801994,maize
78,58,15,6.5286312660000005,25.00933355,67.816568,maize
92,60,23,5.721667141,18.66746724,71.516474,maize
79,59,17,6.644205485,20.37999665,63.73849998,maize
91,55,15,6.376651091,18.09300227,72.61024172,maize
76,51,18,6.247040422,26.16985907,71.96246617,maize
87,48,25,6.656730007999999,18.65396672,61.37879671,maize
71,60,22,6.2048017,26.07470121,59.37147589,maize
90,57,24,6.158860284,18.92851916,72.80086137,maize
67,35,22,6.385684213999999,23.30546753,63.24648023,maize
60,54,19,6.417820493,18.74826712,62.49878458,maize
83,58,23,6.381201909,19.74213321,59.66263104,maize
83,57,19,6.877869005,25.73044432,70.74739256,maize
40,72,77,7.485996067,17.02498456,16.98861173,chickpea
23,72,84,6.920251378,19.02061277,17.13159126,chickpea
39,58,85,5.9969320370000005,17.88776475,15.40589717,chickpea
22,72,85,6.391173589,18.86805647,15.65809214,chickpea
36,67,77,7.152811172000001,18.36952567,19.56381041,chickpea
32,73,81,5.988992796000002,20.45078582,15.40312102,chickpea
58,70,84,6.231049027999999,20.6543203,16.60820843,chickpea
59,70,84,7.550808267000001,17.3348681,18.74926979,chickpea
42,62,75,7.010570541,18.17912258,18.90426935,chickpea
28,74,81,8.753795334,18.01272266,18.30968112,chickpea
58,66,79,8.718192847000001,20.99373558,19.33470387,chickpea
43,66,79,7.976607593,19.46233971,15.22538951,chickpea
58,63,81,6.515499548999999,19.81344531,14.69765308,chickpea
23,62,85,8.490127142,18.97424756,19.5161216,chickpea
27,62,77,6.576415562,18.19737048,14.71070537,chickpea
28,72,84,6.481783042999999,18.72963144,19.18197264,chickpea
50,56,76,7.966605025,20.99502153,19.8601304,chickpea
39,71,84,8.140825437,20.28155898,16.39535215,chickpea
25,78,76,7.228963452,17.48042641,15.7559405,chickpea
31,70,77,6.492546046,20.88818675,14.32313811,chickpea
26,80,83,7.528599957000001,17.08498521,16.14565756,chickpea
25,68,77,7.701446446,20.09340593,15.11279612,chickpea
31,78,76,8.519975748,17.57212145,14.99927489,chickpea
60,68,83,6.620900869,19.12065218,18.43475844,chickpea
59,62,83,8.104396057999999,18.57665902,19.22008229,chickpea
22,67,78,6.204090835,17.16606398,14.42457525,chickpea
36,65,80,6.051091339,18.2872007,16.67921616,chickpea
59,60,84,7.690962337999999,19.03025305,18.66725565,chickpea
54,77,85,7.8292111439999985,17.141861399999996,17.0662427,chickpea
43,68,81,6.761599706,17.47809436,17.93253975,chickpea
28,76,82,6.654425315,20.56601874,14.25803981,chickpea
42,79,85,6.129533877,17.22385224,15.82069268,chickpea
32,60,83,8.829273328,19.69141713,19.44225438,chickpea
22,78,76,8.621662982,17.84851658,19.09172907,chickpea
31,79,75,8.204862075,18.8202251,16.1074793,chickpea
28,58,81,6.18042747,17.47500984,16.54314829,chickpea
57,58,77,7.978996755,18.72649425,17.58406365,chickpea
49,55,78,7.863113671,18.65580107,16.17772668,chickpea
46,76,77,6.967843048,18.2356751,19.68538502,chickpea
54,61,77,6.206582192999999,18.81198127,15.21618225,chickpea
38,60,76,8.868741443,18.65054116,17.80852431,chickpea
59,55,79,8.766128654,20.36720401,16.89574311,chickpea
36,76,75,8.736337905,18.38120357,16.63805158,chickpea
57,68,81,8.081095263,17.17012591,17.30457712,chickpea
35,66,81,6.138243973,19.37101121,15.77458129,chickpea
35,64,78,7.496645259,17.92845928,14.27327988,chickpea
52,60,79,8.380185271,19.45339934,18.23490739,chickpea
27,76,83,6.289614016,19.12829388,14.92241479,chickpea
57,60,84,6.586777189,19.1034283,17.26184541,chickpea
52,68,78,6.89655198,17.48504075,16.96070581,chickpea
43,79,79,7.8067476560000015,19.40751744,18.98030507,chickpea
44,74,85,7.150681303,20.18649426,19.63719995,chickpea
24,55,78,6.64919573,17.30287885,15.15405941,chickpea
29,77,75,7.778591617999999,17.50361137,15.48083156,chickpea
20,60,78,6.358740355,18.17234999,14.70085967,chickpea
56,67,78,8.255450758,17.57445618,16.71826572,chickpea
37,66,85,6.456148474,20.93175255,18.91295403,chickpea
49,71,76,6.613072145,19.71098332,17.63879418,chickpea
59,69,80,8.165359297,19.07937684,17.86754927,chickpea
20,79,77,7.64867466,18.54988627,16.02542689,chickpea
24,56,85,6.545888558,18.19903647,17.41333199,chickpea
51,72,75,7.1042247970000005,18.88852533,14.99451145,chickpea
57,73,85,7.358099622,18.49311205,14.72115044,chickpea
22,64,82,6.4740245000000005,19.48974337,17.17260319,chickpea
52,73,79,7.840339388999999,17.25769499,18.74943955,chickpea
29,75,75,7.064790365,19.62416326,18.71483156,chickpea
44,59,78,7.599033472,20.67526473,19.85388984,chickpea
41,69,82,6.715587232000001,20.02381489,16.63294455,chickpea
52,56,85,6.81712422,20.118744600000007,14.44228303,chickpea
34,76,80,7.985417393,20.65691793,15.84572566,chickpea
42,74,83,7.545258424,19.2582557,14.2804191,chickpea
34,71,79,7.728998197,17.927806,15.85622899,chickpea
27,73,79,7.354973451,19.16288268,15.83500655,chickpea
30,70,79,7.313122235,20.26942271,19.96978871,chickpea
57,57,75,7.785039076,17.09104223,18.25142068,chickpea
27,79,82,6.307004922999999,17.06579293,17.54024066,chickpea
32,71,85,6.4039823160000005,20.62767492,14.44008871,chickpea
31,76,82,7.599279991,20.8248451,17.85057083,chickpea
33,75,84,7.217018459,19.46210401,18.72831993,chickpea
47,80,77,7.561108006,17.18248372,16.42891834,chickpea
54,62,80,7.489545074,17.48911699,16.39055394,chickpea
47,79,78,6.609696734,17.48395377,14.76014523,chickpea
35,57,83,7.476800943,19.48316794,17.44534641,chickpea
53,73,77,7.325451279,19.71359733,18.09665739,chickpea
45,61,78,6.489389282,19.48649305,16.06240074,chickpea
37,78,79,7.786366322,19.95264829,14.82633099,chickpea
30,75,81,6.4084378860000015,19.41789736,16.80472243,chickpea
37,55,82,8.423873703,19.45591848,18.02235902,chickpea
53,65,76,8.719960893,20.19137759,16.41998269,chickpea
22,60,85,7.811997977000001,18.8392908,14.74071856,chickpea
60,61,78,6.317153205,20.71219282,19.83643308,chickpea
42,67,77,7.114405288,18.99424448,15.9362937,chickpea
39,76,76,8.135900726000001,19.96837462,15.57324389,chickpea
35,63,76,7.714153037999999,17.81564548,17.60756635,chickpea
30,65,82,7.103798069,20.71424384,15.27824066,chickpea
57,56,78,8.861479668,17.34150229,18.75626255,chickpea
48,65,78,7.861128148,17.43732714,14.33847406,chickpea
36,56,83,7.4526709,18.89780215,19.76182946,chickpea
40,58,75,7.168096055,18.59190771,14.77959596,chickpea
49,69,82,7.26311855,18.31561493,15.36143547,chickpea
13,60,25,5.68597166,17.13692774,20.59541693,kidneybeans
25,70,16,5.759237003,19.63474332,18.90705639,kidneybeans
31,55,22,5.873171894,22.91350245,21.33953114,kidneybeans
40,64,16,5.926676985,16.43340342,24.24045875,kidneybeans
2,61,20,5.95561668,22.13974653,23.02251117,kidneybeans
26,65,22,5.9499490810000015,17.84806561,18.77621951,kidneybeans
17,57,21,5.789214288999999,19.88394011,20.31564139,kidneybeans
26,80,18,5.581021521,19.32509638,23.3334788,kidneybeans
17,59,17,5.689858133,18.416700100000003,23.42829938,kidneybeans
27,59,22,5.794158503999999,21.81167649,23.20591245,kidneybeans
28,58,24,5.748190462999999,19.72702528,18.28173015,kidneybeans
25,57,19,5.566522896,17.15432954,19.87070659,kidneybeans
28,80,17,5.809419584,19.62207826,18.67170854,kidneybeans
25,60,22,5.887263027,21.63149148,21.17919701,kidneybeans
12,78,23,5.99812453,16.06522754,18.72479695,kidneybeans
6,77,25,5.792744849,20.61162204,24.36314135,kidneybeans
22,79,17,5.912289889,21.42451099,20.39659714,kidneybeans
27,80,15,5.7883869510000014,19.07096165,21.21092266,kidneybeans
10,55,23,5.728233081,21.18853178,19.63438599,kidneybeans
23,65,20,5.833940084,23.0429097,22.42610972,kidneybeans
19,78,16,5.967533236,20.65375833,23.10538637,kidneybeans
19,65,25,5.6250964460000015,18.09551014,18.29318436,kidneybeans
22,70,19,5.515615023,18.23775702,21.07643273,kidneybeans
37,64,22,5.954665349,17.48189735,18.8251973,kidneybeans
11,71,17,5.74644777,19.9191786,21.47324158,kidneybeans
18,79,20,5.877347515,20.27514686,23.2353604,kidneybeans
21,63,17,5.979973965,15.77370214,19.2303162,kidneybeans
24,80,22,5.635993966,16.71170642,19.17651433,kidneybeans
34,60,22,5.635231778,17.66148158,18.15302753,kidneybeans
16,75,21,5.679224346,18.50692825,23.61670065,kidneybeans
17,77,23,5.670062975,24.51324787,20.81527638,kidneybeans
37,72,18,5.724242065,18.87614998,24.54038287,kidneybeans
40,73,20,5.811314232000001,21.59343016,20.31871249,kidneybeans
9,77,17,5.783425416,20.12373284,24.45202552,kidneybeans
1,62,23,5.607808432000001,15.43546065,18.37477907,kidneybeans
33,59,22,5.946999529,22.64236876,21.59396123,kidneybeans
23,59,19,5.852046999,21.98560799,24.87304788,kidneybeans
6,62,22,5.824090984,20.53052663,18.09224048,kidneybeans
25,63,20,5.502999119,15.78601387,21.14544088,kidneybeans
7,79,23,5.821649914,19.6365349,19.68751084,kidneybeans
8,72,17,5.711439256,20.57341244,19.7520218,kidneybeans
27,64,15,5.514927264,20.16080524,24.84207559,kidneybeans
28,66,23,5.99616119,21.53989176,24.25386207,kidneybeans
32,57,18,5.695422862999999,15.53834801,23.75560241,kidneybeans
27,56,22,5.833010957999999,19.91853092,20.70099804,kidneybeans
17,77,24,5.568456899,20.76952209,18.93146941,kidneybeans
0,65,15,5.645435626,23.46168338,23.22197648,kidneybeans
13,72,21,5.821194486,24.32116642,21.0278674,kidneybeans
34,60,23,5.659254981,20.12574053,24.96969858,kidneybeans
9,80,19,5.945465949,21.80619564,18.57086554,kidneybeans
11,72,20,5.9511774520000005,19.52226241,24.92607153,kidneybeans
3,67,24,5.520880013999999,17.00067625,19.90790546,kidneybeans
35,69,23,5.578410206,16.78791503,24.96881755,kidneybeans
3,77,25,5.608165195,24.84906168,22.89464642,kidneybeans
23,62,19,5.609435127999999,16.51783455,20.4555596,kidneybeans
22,71,17,5.509295379,18.15300153,19.38602098,kidneybeans
31,79,25,5.902033406,23.18864385,22.3104551,kidneybeans
34,59,18,5.744117663,23.38002569,21.98879437,kidneybeans
12,63,17,5.717143397,18.358923,19.37703396,kidneybeans
27,56,20,5.542690119,19.25975367,20.51346956,kidneybeans
7,63,24,5.858617867,22.95458237,24.03553105,kidneybeans
24,67,22,5.618844277000001,20.120043,22.89845607,kidneybeans
11,71,24,5.6066203460000015,21.14011423,22.7182355,kidneybeans
37,74,15,5.582178402,24.92360104,18.22590825,kidneybeans
25,76,24,5.56503533,15.33042636,24.91506728,kidneybeans
34,66,17,5.889614577000001,18.81097271,21.27833035,kidneybeans
20,69,15,5.934136378,23.44260668,22.77255917,kidneybeans
37,65,16,5.683548308,22.8352024,18.97267518,kidneybeans
18,74,15,5.70836603,24.9035819,22.27512704,kidneybeans
4,67,25,5.948164454,23.78709569,24.35679348,kidneybeans
37,56,25,5.774755143999999,22.05592283,19.60379304,kidneybeans
5,59,15,5.97229163,18.87492997,20.18238348,kidneybeans
11,61,21,5.532100554,18.62328774,23.02410338,kidneybeans
22,80,20,5.669560726,23.00884744,18.86880997,kidneybeans
12,61,19,5.655726817000001,19.33162606,24.13995025,kidneybeans
5,74,21,5.591704013999999,16.24469193,21.35793891,kidneybeans
27,69,22,5.932323085,17.91652287,24.90814655,kidneybeans
31,75,18,5.824208308999999,15.46789263,21.43780702,kidneybeans
36,68,20,5.86442953,17.06104474,23.77201471,kidneybeans
5,65,16,5.866744372,21.32776028,18.48522915,kidneybeans
32,79,15,5.706198621,23.90910104,20.74619325,kidneybeans
11,78,22,5.940546818,23.89756791,22.74378977,kidneybeans
0,55,22,5.916779289,22.98666928,20.57940608,kidneybeans
14,59,15,5.779090476,21.35135729,22.91244883,kidneybeans
29,68,23,5.82738029,24.1638445,19.27907819,kidneybeans
32,68,19,5.514234138,24.62835037,18.18325169,kidneybeans
17,64,17,5.662699104,21.02213209,24.93896255,kidneybeans
13,69,19,5.86390397,17.30844532,20.01730914,kidneybeans
14,67,22,5.624690247999999,23.82576704,24.75485098,kidneybeans
9,69,20,5.591560999,19.30607278,23.96362799,kidneybeans
20,73,22,5.976312537999999,16.03768615,22.33195853,kidneybeans
40,78,20,5.669236258,19.18572809,20.83398341,kidneybeans
27,72,23,5.961934481,19.92889503,21.79992115,kidneybeans
14,67,15,5.690065688,19.56376468,24.67385131,kidneybeans
7,56,18,5.698371311,18.31357543,24.32991649,kidneybeans
27,65,18,5.59503163,20.10993761,23.22323766,kidneybeans
30,63,16,5.5259045260000015,23.60506572,21.90539577,kidneybeans
37,70,25,5.819403771,19.73136909,24.89487354,kidneybeans
27,63,19,5.562201934,20.93409877,21.1893007,kidneybeans
22,60,24,5.630664753,18.78226261,20.24768314,kidneybeans
3,72,24,6.03160778,36.51268371,57.92887167,pigeonpeas
40,59,23,5.269084669,36.89163721,62.73178224,pigeonpeas
33,73,23,5.985792703,29.23540524,59.38967583,pigeonpeas
27,57,24,6.09186275,27.33534897,43.35795962,pigeonpeas
10,79,18,5.624731337999999,21.0643684,55.46985938,pigeonpeas
30,75,25,6.446091759,30.33276599,42.35249879,pigeonpeas
40,70,20,5.623490042999999,31.80130272,45.03186173,pigeonpeas
38,55,19,5.864623352000001,33.18184225,38.23184742,pigeonpeas
35,58,20,5.761702519,29.38538562,63.47742011,pigeonpeas
38,61,21,4.696518678,30.27374995,67.38680755,pigeonpeas
33,58,24,5.269504214,35.45790488,68.75810535,pigeonpeas
16,56,17,7.445444882999999,33.80020039,40.03262418,pigeonpeas
31,72,17,5.833031707999999,28.69180475,49.47225353,pigeonpeas
16,80,20,7.3393209289999986,31.24021696,56.67369054,pigeonpeas
27,72,17,6.347929353,28.98039357,57.23265151,pigeonpeas
40,62,19,4.697750704,27.32198928,34.13737127,pigeonpeas
18,58,16,4.962661422,21.47607807,38.80023714,pigeonpeas
3,68,16,4.964887857,18.31910448,34.69776639,pigeonpeas
26,67,24,5.642813116,36.97794384,37.73992903,pigeonpeas
16,70,20,5.6093956,24.80467592,40.1242747,pigeonpeas
24,63,19,4.681576043,19.3479443,55.96805489,pigeonpeas
9,76,25,5.70951224,28.88302142,50.12323801,pigeonpeas
16,55,19,6.413543781,19.54314136,47.19188279,pigeonpeas
28,75,21,6.007508163,24.7741949,50.54621094,pigeonpeas
16,71,24,4.946369874,18.33124824,38.40975482,pigeonpeas
24,70,21,5.517208078,19.14729038,45.3733757,pigeonpeas
38,72,21,5.902103172,28.23416057,49.4421345,pigeonpeas
9,66,21,5.719889876,30.11812084,34.13307843,pigeonpeas
34,56,17,4.548202098,33.4126864,35.42910045,pigeonpeas
1,76,19,6.6695294160000005,24.18553163,46.68746847,pigeonpeas
6,69,19,4.7509292180000005,26.88630675,41.69617915,pigeonpeas
26,73,21,4.946263888,31.33170829,57.97429171,pigeonpeas
27,61,18,5.266227032,33.30711818,67.07780816,pigeonpeas
27,71,23,7.10959773,23.45379018,46.48714759,pigeonpeas
36,61,21,5.617008201,34.53823889,39.04468913,pigeonpeas
17,73,18,5.632353113,19.50112224,34.51086611,pigeonpeas
26,72,22,4.674941549,28.76794904,37.57792132,pigeonpeas
17,64,16,7.161797643,30.97758716,32.24914235,pigeonpeas
14,74,19,6.624966131,18.39759147,36.82639309,pigeonpeas
39,60,15,5.004074623999999,35.09357419,30.98685456,pigeonpeas
6,66,15,6.3458060110000005,34.93174223,30.40046769,pigeonpeas
8,59,18,6.216814453,29.50523036,35.72032498,pigeonpeas
2,67,18,5.921666758,34.51934775,47.52980027,pigeonpeas
1,76,17,6.012719118,28.43430726,52.10010827,pigeonpeas
16,73,19,4.684079249,18.41645629,34.80541039,pigeonpeas
23,75,25,7.077170002000001,31.07508973,47.19847683,pigeonpeas
32,70,20,6.208843215,20.89342749,46.24856523,pigeonpeas
28,59,22,7.05181629,30.90607799,52.79913039,pigeonpeas
5,62,23,4.722222454,27.9348279,66.45457122,pigeonpeas
36,67,25,6.418062652000001,35.95176642,36.52780776,pigeonpeas
1,66,23,4.803564468,19.54317155,56.92831399,pigeonpeas
24,73,20,4.608695247,19.63736208,32.31528909,pigeonpeas
17,67,18,5.611510977000001,31.2192752,56.46868874,pigeonpeas
5,55,18,7.322097972000001,33.50876355,45.70976142,pigeonpeas
5,56,24,5.023115055,24.80710166,45.01110015,pigeonpeas
37,77,17,5.617122801,36.20970524,31.94550613,pigeonpeas
13,73,20,5.391560417999999,30.50420876,35.48885969,pigeonpeas
6,63,23,5.906596905,26.01630259,49.94704718,pigeonpeas
16,77,22,6.574209678,31.48469278,35.6395615,pigeonpeas
25,64,20,4.807776748999999,33.15122581,32.45974539,pigeonpeas
34,75,24,4.760038038999999,23.50222822,51.29019509,pigeonpeas
20,77,23,5.180271502,34.87248659,38.83786012,pigeonpeas
35,80,25,4.895927306,28.09269012,44.93322042,pigeonpeas
14,75,24,6.436160044,24.54757829,57.3414485,pigeonpeas
36,80,21,7.066087261,33.64769646,48.41490082,pigeonpeas
7,77,18,6.655918077999999,20.5591255,60.54880693,pigeonpeas
29,78,25,5.982854522999999,19.95991719,59.33157782,pigeonpeas
30,60,21,5.457871272999999,28.87667593,62.4901206,pigeonpeas
20,74,16,4.759490199,36.04353699,43.61444121,pigeonpeas
19,57,23,7.342409555,23.6734328,47.2879691,pigeonpeas
3,60,19,4.820788186000001,25.74679443,40.7192594,pigeonpeas
